State,ZipCode,TaxRegionName,EstimatedCombinedRate,StateRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
UT,82930,SUMMIT CO TR,0.071500,0.048499,0.015500,0.000000,0.007500,0
UT,83342,BOX ELDER,0.063500,0.048499,0.015000,0.000000,0.000000,0
UT,84001,DUCHESNE,0.063500,0.048499,0.015000,0.000000,0.000000,0
UT,84002,DUCHESNE,0.063500,0.048499,0.015000,0.000000,0.000000,0
UT,84003,AMERICAN FORK,0.074500,0.048499,0.010000,0.011000,0.005000,0
UT,84004,ALPINE,0.074500,0.048499,0.010000,0.011000,0.005000,0
UT,84005,UTAH CO TR,0.073500,0.048499,0.020000,0.000000,0.005000,0
UT,84006,COPPERTON,0.072500,0.048499,0.003500,0.010000,0.010500,0
UT,84007,DUCHESNE,0.063500,0.048499,0.015000,0.000000,0.000000,0
UT,84008,UINTAH,0.064500,0.048499,0.016000,0.000000,0.000000,0
UT,84009,SOUTH JORDAN,0.072500,0.048499,0.013500,0.000000,0.010500,0
UT,84010,BOUNTIFUL SP,0.072500,0.048499,0.018000,0.000000,0.006000,0
UT,84011,BOUNTIFUL SP,0.072500,0.048499,0.018000,0.000000,0.006000,0
UT,84013,CEDAR FORT,0.073500,0.048499,0.020000,0.000000,0.005000,0
UT,84014,BOUNTIFUL SP,0.072500,0.048499,0.018000,0.000000,0.006000,0
UT,84015,CLEARFIELD,0.072500,0.048499,0.018000,0.001000,0.005000,0
UT,84016,CLEARFIELD,0.072500,0.048499,0.018000,0.001000,0.005000,0
UT,84017,SUMMIT CO TR,0.071500,0.048499,0.015500,0.000000,0.007500,0
UT,84018,MORGAN,0.067000,0.048499,0.018500,0.000000,0.000000,0
UT,84020,DRAPER,0.073500,0.048499,0.020000,0.000000,0.005000,0
UT,84021,DUCHESNE,0.064500,0.048499,0.015000,0.001000,0.000000,0
UT,84022,TOOELE,0.066000,0.048499,0.017500,0.000000,0.000000,0
UT,84023,DUTCH JOHN,0.084500,0.048499,0.025000,0.011000,0.000000,0
UT,84024,SUMMIT CO TR,0.071500,0.048499,0.015500,0.000000,0.007500,0
UT,84025,CENTERVILLE SP,0.072500,0.048499,0.018000,0.000000,0.006000,0
UT,84026,UINTAH,0.064500,0.048499,0.016000,0.000000,0.000000,0
UT,84027,DUCHESNE,0.063500,0.048499,0.015000,0.000000,0.000000,0
UT,84028,GARDEN CITY SP,0.079500,0.048499,0.005000,0.010000,0.016000,0
UT,84029,GRANTSVILLE TR,0.070000,0.048499,0.005000,0.011000,0.005500,0
UT,84031,DUCHESNE,0.063500,0.048499,0.015000,0.000000,0.000000,0
UT,84032,WASATCH,0.080500,0.048499,0.021000,0.000000,0.011000,0
UT,84033,SUMMIT CO TR,0.071500,0.048499,0.015500,0.000000,0.007500,0
UT,84034,TOOELE,0.066000,0.048499,0.017500,0.000000,0.000000,0
UT,84035,UINTAH,0.064500,0.048499,0.016000,0.000000,0.000000,0
UT,84036,HIDEOUT,0.080500,0.048499,0.021000,0.000000,0.011000,0
UT,84037,FARMINGTON,0.072500,0.048499,0.018000,0.001000,0.005000,0
UT,84038,RICH,0.063500,0.048499,0.015000,0.000000,0.000000,0
UT,84039,UINTAH,0.064500,0.048499,0.016000,0.000000,0.000000,0
UT,84040,KAYSVILLE,0.072500,0.048499,0.018000,0.001000,0.005000,0
UT,84041,CLEARFIELD,0.072500,0.048499,0.018000,0.001000,0.005000,0
UT,84042,LINDON,0.074500,0.048499,0.010000,0.011000,0.005000,0
UT,84043,AMERICAN FORK,0.074500,0.048499,0.010000,0.011000,0.005000,0
UT,84044,SALT LAKE CITY,0.077500,0.048499,0.013500,0.005000,0.010500,0
UT,84045,LEHI,0.074500,0.048499,0.010000,0.011000,0.005000,0
UT,84046,DAGGETT,0.073500,0.048499,0.025000,0.000000,0.000000,0
UT,84047,MURRAY,0.074500,0.048499,0.013500,0.002000,0.010500,0
UT,84049,MIDWAY RESORT SP,0.083500,0.048499,0.008500,0.010000,0.016500,0
UT,84050,MORGAN,0.069500,0.048499,0.018500,0.002500,0.000000,0
UT,84051,DUCHESNE,0.063500,0.048499,0.015000,0.000000,0.000000,0
UT,84052,UINTAH,0.064500,0.048499,0.016000,0.000000,0.000000,0
UT,84053,DUCHESNE,0.063500,0.048499,0.015000,0.000000,0.000000,0
UT,84054,SALT LAKE CITY,0.077500,0.048499,0.013500,0.005000,0.010500,0
UT,84055,SUMMIT CO TR,0.071500,0.048499,0.015500,0.000000,0.007500,0
UT,84056,RIVERDALE,0.074500,0.048499,0.016500,0.002000,0.007500,0
UT,84057,LINDON,0.074500,0.048499,0.010000,0.011000,0.005000,0
UT,84058,OREM,0.074500,0.048499,0.010000,0.011000,0.005000,0
UT,84059,OREM,0.074500,0.048499,0.010000,0.011000,0.005000,0
UT,84060,PARK CITY,0.090500,0.048499,0.003000,0.010000,0.029000,0
UT,84061,SUMMIT CO TR,0.071500,0.048499,0.015500,0.000000,0.007500,0
UT,84062,AMERICAN FORK,0.074500,0.048499,0.010000,0.011000,0.005000,0
UT,84063,UINTAH,0.064500,0.048499,0.016000,0.000000,0.000000,0
UT,84064,RICH,0.063500,0.048499,0.015000,0.000000,0.000000,0
UT,84065,BLUFFDALE SOUTH,0.073500,0.048499,0.020000,0.000000,0.005000,0
UT,84066,ROOSEVELT TR,0.067500,0.048499,0.002500,0.011000,0.005500,0
UT,84067,RIVERDALE,0.074500,0.048499,0.016500,0.002000,0.007500,0
UT,84068,PARK CITY,0.090500,0.048499,0.003000,0.010000,0.029000,0
UT,84069,TOOELE,0.066000,0.048499,0.017500,0.000000,0.000000,0
UT,84070,SANDY CITY,0.072500,0.048499,0.013500,0.000000,0.010500,0
UT,84071,TOOELE,0.066000,0.048499,0.017500,0.000000,0.000000,0
UT,84072,DUCHESNE,0.063500,0.048499,0.015000,0.000000,0.000000,0
UT,84073,DUCHESNE,0.063500,0.048499,0.015000,0.000000,0.000000,0
UT,84074,GRANTSVILLE TR,0.070000,0.048499,0.005000,0.011000,0.005500,0
UT,84075,CLEARFIELD,0.072500,0.048499,0.018000,0.001000,0.005000,0
UT,84076,UINTAH,0.064500,0.048499,0.016000,0.000000,0.000000,0
UT,84078,NAPLES,0.069500,0.048499,0.016000,0.002000,0.003000,0
